date,category,type,amount,description,payment_method
2024-01-03,Saúde,despesa,463.31,Saúde — transação automática,Cartão de Crédito
2023-04-29,Lazer,despesa,217.59,Lazer — transação automática,Pix
2023-12-06,Freelance,receita,3734.05,Freelance — transação automática,Pix
2022-04-04,Alimentação,despesa,255.16,Alimentação — transação automática,Cartão de Crédito
2024-09-29,Moradia,despesa,231.22,Moradia — transação automática,Pix
2023-01-29,Alimentação,despesa,122.18,Alimentação — transação automática,Pix
2023-12-08,Salário,receita,4895.21,Salário — transação automática,Débito
2023-08-11,Vestuário,despesa,304.57,Vestuário — transação automática,Boleto
2024-08-24,Bônus,receita,4344.83,Bônus — transação automática,Cartão de Crédito
2024-08-15,Manutenção,despesa,5.0,Manutenção — transação automática,Transferência
2024-02-02,Impostos,despesa,205.97,Impostos — transação automática,Transferência
2022-08-05,Lazer,despesa,370.72,Lazer — transação automática,Boleto
2024-07-13,Moradia,despesa,38.04,Moradia — transação automática,Débito
2022-04-23,Assinaturas,despesa,262.43,Assinaturas — transação automática,Pix
2024-06-12,Transporte,despesa,330.29,Transporte — transação automática,Boleto
2023-11-10,Manutenção,despesa,686.66,Manutenção — transação automática,Boleto
2022-12-02,Transporte,despesa,5.0,Transporte — transação automática,Transferência
2022-10-18,Impostos,despesa,41.37,Impostos — transação automática,Débito
2022-12-15,Transporte,despesa,266.17,Transporte — transação automática,Pix
2024-05-12,Moradia,despesa,455.09,Moradia — transação automática,Transferência
2022-08-11,Manutenção,despesa,382.62,Manutenção — transação automática,Boleto
2024-09-23,Freelance,receita,4180.95,Freelance — transação automática,Pix
2024-08-17,Rendimentos,receita,4197.6,Rendimentos — transação automática,Boleto
2024-07-16,Manutenção,despesa,415.73,Manutenção — transação automática,Cartão de Crédito
2022-03-14,Assinaturas,despesa,774.1,Assinaturas — transação automática,Cartão de Crédito
2022-03-29,Impostos,despesa,544.61,Impostos — transação automática,Débito
2022-07-04,Moradia,despesa,157.26,Moradia — transação automática,Débito
2022-08-18,Alimentação,despesa,446.06,Alimentação — transação automática,Boleto
2022-03-11,Transporte,despesa,403.61,Transporte — transação automática,Boleto
2024-09-20,Alimentação,despesa,686.2,Alimentação — transação automática,Boleto
2023-09-28,Freelance,receita,7359.93,Freelance — transação automática,Cartão de Crédito
2022-02-19,Transporte,despesa,197.59,Transporte — transação automática,Cartão de Crédito
2022-12-31,Rendimentos,receita,6399.23,Rendimentos — transação automática,Débito
2024-05-06,Transporte,despesa,827.48,Transporte — transação automática,Boleto
2024-02-18,Saúde,despesa,163.46,Saúde — transação automática,Cartão de Crédito
2022-02-23,Assinaturas,despesa,80.94,Assinaturas — transação automática,Transferência
2024-10-29,Bônus,receita,5594.57,Bônus — transação automática,Débito
2022-10-05,Assinaturas,despesa,315.67,Assinaturas — transação automática,Pix
2022-07-28,Impostos,despesa,810.95,Impostos — transação automática,Boleto
2024-10-11,Freelance,receita,2430.35,Freelance — transação automática,Débito
2022-01-14,Lazer,despesa,483.04,Lazer — transação automática,Débito
2023-08-02,Salário,receita,4612.61,Salário — transação automática,Transferência
2022-01-04,Assinaturas,despesa,659.46,Assinaturas — transação automática,Cartão de Crédito
2023-10-05,Transporte,despesa,353.23,Transporte — transação automática,Cartão de Crédito
2022-12-09,Manutenção,despesa,672.21,Manutenção — transação automática,Pix
2023-04-01,Bônus,receita,4840.37,Bônus — transação automática,Débito
2022-11-27,Impostos,despesa,359.56,Impostos — transação automática,Boleto
2024-03-23,Alimentação,despesa,569.78,Alimentação — transação automática,Cartão de Crédito
2022-12-30,Bônus,receita,4967.16,Bônus — transação automática,Pix
2023-04-06,Rendimentos,receita,5651.32,Rendimentos — transação automática,Pix
2022-07-05,Rendimentos,receita,5550.39,Rendimentos — transação automática,Transferência
2022-06-16,Vestuário,despesa,841.48,Vestuário — transação automática,Pix
2022-02-25,Vestuário,despesa,510.6,Vestuário — transação automática,Débito
2023-12-27,Manutenção,despesa,535.96,Manutenção — transação automática,Pix
2024-04-13,Transporte,despesa,543.57,Transporte — transação automática,Boleto
2023-09-06,Saúde,despesa,677.35,Saúde — transação automática,Cartão de Crédito
2023-04-04,Lazer,despesa,317.39,Lazer — transação automática,Transferência
2023-08-28,Lazer,despesa,816.08,Lazer — transação automática,Pix
2022-04-21,Assinaturas,despesa,599.21,Assinaturas — transação automática,Boleto
2022-03-21,Educação,despesa,370.09,Educação — transação automática,Transferência
2024-03-22,Saúde,despesa,39.22,Saúde — transação automática,Boleto
2023-10-15,Rendimentos,receita,3885.47,Rendimentos — transação automática,Transferência
2024-06-22,Assinaturas,despesa,135.87,Assinaturas — transação automática,Pix
2024-02-13,Alimentação,despesa,298.38,Alimentação — transação automática,Débito
2022-11-26,Alimentação,despesa,22.5,Alimentação — transação automática,Pix
2022-01-17,Alimentação,despesa,699.9,Alimentação — transação automática,Débito
2024-09-05,Bônus,receita,4359.79,Bônus — transação automática,Pix
2022-03-06,Transporte,despesa,165.86,Transporte — transação automática,Boleto
2022-01-26,Bônus,receita,1842.69,Bônus — transação automática,Cartão de Crédito
2023-03-16,Salário,receita,5094.2,Salário — transação automática,Transferência
2023-09-09,Freelance,receita,1698.27,Freelance — transação automática,Boleto
2024-12-04,Moradia,despesa,417.37,Moradia — transação automática,Cartão de Crédito
2022-06-09,Bônus,receita,2027.34,Bônus — transação automática,Pix
2024-10-22,Freelance,receita,5088.54,Freelance — transação automática,Boleto
2023-06-26,Salário,receita,4150.01,Salário — transação automática,Transferência
2023-06-28,Freelance,receita,6242.2,Freelance — transação automática,Débito
2022-11-15,Impostos,despesa,571.1,Impostos — transação automática,Boleto
2024-01-20,Bônus,receita,3213.25,Bônus — transação automática,Pix
2024-05-15,Moradia,despesa,95.95,Moradia — transação automática,Débito
2023-01-21,Freelance,receita,3429.36,Freelance — transação automática,Pix
2022-07-19,Lazer,despesa,277.49,Lazer — transação automática,Cartão de Crédito
2024-03-31,Impostos,despesa,454.5,Impostos — transação automática,Débito
2023-01-13,Vestuário,despesa,199.05,Vestuário — transação automática,Pix
2023-05-17,Freelance,receita,3282.66,Freelance — transação automática,Transferência
2022-07-05,Saúde,despesa,218.66,Saúde — transação automática,Débito
2023-02-23,Saúde,despesa,396.23,Saúde — transação automática,Débito
2022-12-07,Alimentação,despesa,18.2,Alimentação — transação automática,Boleto
2022-09-26,Manutenção,despesa,49.69,Manutenção — transação automática,Pix
2022-11-10,Salário,receita,4726.87,Salário — transação automática,Transferência
2023-12-01,Transporte,despesa,647.21,Transporte — transação automática,Transferência
2024-05-17,Lazer,despesa,180.37,Lazer — transação automática,Débito
2023-09-15,Impostos,despesa,417.58,Impostos — transação automática,Débito
2022-05-11,Manutenção,despesa,656.74,Manutenção — transação automática,Transferência
2022-10-31,Vestuário,despesa,271.63,Vestuário — transação automática,Cartão de Crédito
2022-07-24,Saúde,despesa,48.05,Saúde — transação automática,Transferência
2024-08-29,Manutenção,despesa,850.31,Manutenção — transação automática,Transferência
2023-03-06,Manutenção,despesa,164.64,Manutenção — transação automática,Transferência
2024-11-15,Moradia,despesa,469.21,Moradia — transação automática,Cartão de Crédito
2023-08-02,Manutenção,despesa,84.44,Manutenção — transação automática,Boleto
2023-09-09,Alimentação,despesa,5.0,Alimentação — transação automática,Débito
2023-12-12,Alimentação,despesa,660.82,Alimentação — transação automática,Boleto
2022-08-31,Salário,receita,200.0,Salário — transação automática,Cartão de Crédito
2024-09-22,Lazer,despesa,563.3,Lazer — transação automática,Transferência
2022-10-10,Vestuário,despesa,89.61,Vestuário — transação automática,Boleto
2024-07-08,Manutenção,despesa,5.0,Manutenção — transação automática,Débito
2023-07-22,Freelance,receita,4031.64,Freelance — transação automática,Débito
2023-07-16,Educação,despesa,442.23,Educação — transação automática,Transferência
2022-10-14,Impostos,despesa,515.25,Impostos — transação automática,Cartão de Crédito
2022-06-03,Saúde,despesa,699.89,Saúde — transação automática,Transferência
2024-05-01,Alimentação,despesa,437.73,Alimentação — transação automática,Pix
2024-12-09,Moradia,despesa,262.23,Moradia — transação automática,Débito
2024-02-13,Impostos,despesa,723.71,Impostos — transação automática,Cartão de Crédito
2024-05-15,Assinaturas,despesa,309.79,Assinaturas — transação automática,Transferência
2022-10-29,Moradia,despesa,145.37,Moradia — transação automática,Transferência
2023-05-28,Freelance,receita,3571.51,Freelance — transação automática,Débito
2024-08-01,Rendimentos,receita,5895.84,Rendimentos — transação automática,Boleto
2022-04-01,Alimentação,despesa,5.0,Alimentação — transação automática,Cartão de Crédito
2022-07-08,Impostos,despesa,187.9,Impostos — transação automática,Boleto
2024-06-16,Vestuário,despesa,479.25,Vestuário — transação automática,Débito
2022-11-29,Moradia,despesa,180.92,Moradia — transação automática,Pix
2023-10-03,Alimentação,despesa,539.59,Alimentação — transação automática,Transferência
2022-12-23,Assinaturas,despesa,359.53,Assinaturas — transação automática,Pix
2022-08-13,Manutenção,despesa,160.31,Manutenção — transação automática,Pix
2023-10-26,Rendimentos,receita,7302.68,Rendimentos — transação automática,Transferência
2024-12-19,Freelance,receita,3580.54,Freelance — transação automática,Boleto
2022-05-26,Saúde,despesa,123.18,Saúde — transação automática,Transferência
2022-08-04,Assinaturas,despesa,365.89,Assinaturas — transação automática,Débito
2023-07-06,Manutenção,despesa,251.57,Manutenção — transação automática,Cartão de Crédito
2023-06-03,Educação,despesa,514.0,Educação — transação automática,Transferência
2022-07-02,Bônus,receita,4398.31,Bônus — transação automática,Débito
2024-07-07,Transporte,despesa,221.11,Transporte — transação automática,Pix
2024-02-20,Lazer,despesa,655.54,Lazer — transação automática,Pix
2022-05-21,Bônus,receita,4721.84,Bônus — transação automática,Transferência
2024-01-28,Vestuário,despesa,154.9,Vestuário — transação automática,Transferência
2024-11-04,Bônus,receita,5532.81,Bônus — transação automática,Débito
2023-10-21,Salário,receita,6423.63,Salário — transação automática,Cartão de Crédito
2023-01-31,Salário,receita,6764.54,Salário — transação automática,Cartão de Crédito
2023-09-17,Bônus,receita,2823.94,Bônus — transação automática,Boleto
2023-09-16,Impostos,despesa,208.07,Impostos — transação automática,Cartão de Crédito
2024-01-09,Transporte,despesa,620.09,Transporte — transação automática,Pix
2022-02-05,Vestuário,despesa,893.3,Vestuário — transação automática,Pix
2022-09-29,Salário,receita,1745.49,Salário — transação automática,Transferência
2024-02-07,Saúde,despesa,215.81,Saúde — transação automática,Cartão de Crédito
2024-03-08,Transporte,despesa,421.33,Transporte — transação automática,Pix
2023-12-14,Impostos,despesa,375.63,Impostos — transação automática,Transferência
2024-10-23,Salário,receita,3206.67,Salário — transação automática,Boleto
2024-07-02,Educação,despesa,358.51,Educação — transação automática,Débito
2023-02-25,Freelance,receita,5433.12,Freelance — transação automática,Transferência
2022-04-19,Alimentação,despesa,717.7,Alimentação — transação automática,Pix
2024-10-10,Saúde,despesa,5.0,Saúde — transação automática,Boleto
2024-09-04,Saúde,despesa,210.32,Saúde — transação automática,Pix
2022-05-06,Freelance,receita,2758.99,Freelance — transação automática,Transferência
2022-03-16,Manutenção,despesa,5.0,Manutenção — transação automática,Débito
2022-12-08,Educação,despesa,287.05,Educação — transação automática,Pix
2024-01-06,Manutenção,despesa,260.28,Manutenção — transação automática,Boleto
2024-10-24,Saúde,despesa,220.46,Saúde — transação automática,Pix
2023-04-27,Lazer,despesa,437.56,Lazer — transação automática,Transferência
2024-02-25,Manutenção,despesa,309.69,Manutenção — transação automática,Débito
2024-06-10,Freelance,receita,5200.96,Freelance — transação automática,Pix
2024-11-23,Manutenção,despesa,202.88,Manutenção — transação automática,Transferência
2022-03-22,Saúde,despesa,427.41,Saúde — transação automática,Transferência
2024-05-24,Lazer,despesa,13.87,Lazer — transação automática,Débito
2024-09-22,Saúde,despesa,348.2,Saúde — transação automática,Cartão de Crédito
2022-01-02,Bônus,receita,3893.68,Bônus — transação automática,Débito
2022-09-10,Alimentação,despesa,533.95,Alimentação — transação automática,Cartão de Crédito
2023-05-12,Bônus,receita,4042.45,Bônus — transação automática,Pix
2022-04-29,Impostos,despesa,47.46,Impostos — transação automática,Débito
2023-08-07,Saúde,despesa,613.23,Saúde — transação automática,Débito
2024-07-20,Impostos,despesa,850.62,Impostos — transação automática,Boleto
2024-12-15,Rendimentos,receita,5866.83,Rendimentos — transação automática,Boleto
2024-09-15,Educação,despesa,906.81,Educação — transação automática,Cartão de Crédito
2024-12-29,Bônus,receita,5473.5,Bônus — transação automática,Transferência
2022-01-22,Lazer,despesa,598.43,Lazer — transação automática,Cartão de Crédito
2022-04-24,Manutenção,despesa,422.96,Manutenção — transação automática,Pix
2022-11-11,Freelance,receita,2028.08,Freelance — transação automática,Transferência
2023-07-07,Moradia,despesa,431.95,Moradia — transação automática,Boleto
2023-10-04,Bônus,receita,4482.78,Bônus — transação automática,Transferência
2024-11-09,Lazer,despesa,235.64,Lazer — transação automática,Pix
2022-02-01,Rendimentos,receita,5675.72,Rendimentos — transação automática,Transferência
2023-06-17,Rendimentos,receita,7532.83,Rendimentos — transação automática,Pix
2022-04-01,Saúde,despesa,5.0,Saúde — transação automática,Pix
2024-04-06,Freelance,receita,6474.53,Freelance — transação automática,Débito
2022-08-24,Lazer,despesa,100.61,Lazer — transação automática,Boleto
2022-10-27,Educação,despesa,197.45,Educação — transação automática,Pix
2023-08-31,Bônus,receita,6995.18,Bônus — transação automática,Pix
2022-08-22,Impostos,despesa,456.21,Impostos — transação automática,Pix
2022-12-05,Manutenção,despesa,197.24,Manutenção — transação automática,Transferência
2024-02-22,Impostos,despesa,392.62,Impostos — transação automática,Pix
2024-05-22,Lazer,despesa,467.66,Lazer — transação automática,Boleto
2022-04-04,Freelance,receita,3929.97,Freelance — transação automática,Débito
2024-07-08,Assinaturas,despesa,385.23,Assinaturas — transação automática,Transferência
2023-04-18,Transporte,despesa,776.72,Transporte — transação automática,Cartão de Crédito
2024-05-21,Vestuário,despesa,33.72,Vestuário — transação automática,Boleto
2022-09-18,Manutenção,despesa,667.38,Manutenção — transação automática,Débito
2022-06-16,Assinaturas,despesa,703.41,Assinaturas — transação automática,Pix
2024-11-26,Alimentação,despesa,614.8,Alimentação — transação automática,Pix
2022-04-08,Transporte,despesa,40.87,Transporte — transação automática,Pix
2024-10-30,Lazer,despesa,799.55,Lazer — transação automática,Débito
2024-12-12,Manutenção,despesa,269.98,Manutenção — transação automática,Transferência
2022-06-26,Bônus,receita,7367.52,Bônus — transação automática,Transferência
2024-01-09,Lazer,despesa,164.91,Lazer — transação automática,Pix
2024-05-01,Educação,despesa,273.97,Educação — transação automática,Cartão de Crédito
2022-05-10,Impostos,despesa,126.47,Impostos — transação automática,Cartão de Crédito
2023-06-25,Vestuário,despesa,95.5,Vestuário — transação automática,Cartão de Crédito
2024-06-04,Saúde,despesa,734.85,Saúde — transação automática,Cartão de Crédito
2022-11-16,Transporte,despesa,5.0,Transporte — transação automática,Pix
2022-09-14,Manutenção,despesa,61.07,Manutenção — transação automática,Cartão de Crédito
2024-05-20,Bônus,receita,6696.56,Bônus — transação automática,Pix
2023-08-18,Educação,despesa,5.0,Educação — transação automática,Débito
2022-02-12,Rendimentos,receita,5308.82,Rendimentos — transação automática,Pix
2023-08-13,Educação,despesa,338.75,Educação — transação automática,Transferência
2024-12-21,Vestuário,despesa,316.8,Vestuário — transação automática,Boleto
2024-04-08,Assinaturas,despesa,100.53,Assinaturas — transação automática,Débito
2024-04-12,Transporte,despesa,283.8,Transporte — transação automática,Cartão de Crédito
2024-02-03,Moradia,despesa,540.85,Moradia — transação automática,Boleto
2024-10-26,Rendimentos,receita,5486.1,Rendimentos — transação automática,Transferência
2023-05-19,Salário,receita,5128.22,Salário — transação automática,Pix
2023-10-07,Saúde,despesa,119.15,Saúde — transação automática,Débito
2023-04-17,Assinaturas,despesa,409.47,Assinaturas — transação automática,Cartão de Crédito
2022-02-13,Moradia,despesa,506.88,Moradia — transação automática,Cartão de Crédito
2022-10-14,Educação,despesa,5.0,Educação — transação automática,Boleto
2022-09-21,Moradia,despesa,170.06,Moradia — transação automática,Débito
2023-12-10,Moradia,despesa,310.13,Moradia — transação automática,Boleto
2024-01-18,Freelance,receita,5466.28,Freelance — transação automática,Pix
2024-06-14,Freelance,receita,6022.34,Freelance — transação automática,Pix
2023-09-15,Vestuário,despesa,631.48,Vestuário — transação automática,Cartão de Crédito
2023-10-01,Saúde,despesa,495.83,Saúde — transação automática,Pix
2022-11-27,Salário,receita,5518.1,Salário — transação automática,Débito
2023-09-07,Educação,despesa,130.99,Educação — transação automática,Boleto
2023-03-05,Saúde,despesa,615.45,Saúde — transação automática,Cartão de Crédito
2023-06-04,Lazer,despesa,416.8,Lazer — transação automática,Pix
2022-07-24,Alimentação,despesa,530.12,Alimentação — transação automática,Pix
2023-10-18,Lazer,despesa,161.94,Lazer — transação automática,Débito
2023-02-25,Saúde,despesa,22.52,Saúde — transação automática,Boleto
2024-09-29,Vestuário,despesa,556.07,Vestuário — transação automática,Transferência
2024-04-14,Assinaturas,despesa,385.63,Assinaturas — transação automática,Boleto
2023-11-18,Transporte,despesa,277.74,Transporte — transação automática,Débito
2024-04-13,Salário,receita,3881.15,Salário — transação automática,Boleto
2024-09-17,Manutenção,despesa,307.3,Manutenção — transação automática,Débito
2024-04-07,Educação,despesa,985.0,Educação — transação automática,Cartão de Crédito
2023-12-11,Educação,despesa,347.1,Educação — transação automática,Transferência
2022-02-08,Moradia,despesa,522.6,Moradia — transação automática,Pix
2023-10-06,Rendimentos,receita,5250.22,Rendimentos — transação automática,Boleto
2022-05-05,Lazer,despesa,287.01,Lazer — transação automática,Pix
2022-11-06,Bônus,receita,2754.69,Bônus — transação automática,Transferência
2024-11-13,Assinaturas,despesa,236.54,Assinaturas — transação automática,Transferência
2024-03-25,Transporte,despesa,189.36,Transporte — transação automática,Boleto
2024-06-16,Salário,receita,4207.95,Salário — transação automática,Cartão de Crédito
2022-04-28,Salário,receita,4207.81,Salário — transação automática,Boleto
2023-09-05,Assinaturas,despesa,248.83,Assinaturas — transação automática,Débito
2024-05-31,Manutenção,despesa,328.93,Manutenção — transação automática,Transferência
2023-08-19,Saúde,despesa,123.91,Saúde — transação automática,Boleto
2022-10-19,Saúde,despesa,586.25,Saúde — transação automática,Boleto
2024-01-02,Alimentação,despesa,499.34,Alimentação — transação automática,Pix
2024-05-02,Freelance,receita,4843.29,Freelance — transação automática,Boleto
2024-11-11,Impostos,despesa,5.0,Impostos — transação automática,Débito
2022-09-08,Transporte,despesa,528.45,Transporte — transação automática,Transferência
2024-02-20,Bônus,receita,7528.7,Bônus — transação automática,Pix
2022-06-11,Saúde,despesa,215.72,Saúde — transação automática,Cartão de Crédito
2022-04-25,Lazer,despesa,421.09,Lazer — transação automática,Pix
2022-02-10,Alimentação,despesa,259.58,Alimentação — transação automática,Boleto
2023-12-24,Saúde,despesa,130.48,Saúde — transação automática,Cartão de Crédito
2022-06-01,Manutenção,despesa,630.51,Manutenção — transação automática,Cartão de Crédito
2024-12-02,Bônus,receita,4087.29,Bônus — transação automática,Débito
2023-10-18,Manutenção,despesa,583.72,Manutenção — transação automática,Boleto
2024-03-21,Alimentação,despesa,219.58,Alimentação — transação automática,Transferência
2024-10-16,Impostos,despesa,268.0,Impostos — transação automática,Transferência
2022-02-06,Alimentação,despesa,230.04,Alimentação — transação automática,Boleto
2022-09-08,Lazer,despesa,191.72,Lazer — transação automática,Boleto
2022-06-09,Assinaturas,despesa,673.19,Assinaturas — transação automática,Cartão de Crédito
2023-07-16,Vestuário,despesa,96.21,Vestuário — transação automática,Débito
2023-02-09,Transporte,despesa,703.43,Transporte — transação automática,Pix
2022-09-06,Lazer,despesa,344.92,Lazer — transação automática,Débito
2022-05-26,Alimentação,despesa,930.79,Alimentação — transação automática,Cartão de Crédito
2022-12-31,Vestuário,despesa,345.09,Vestuário — transação automática,Cartão de Crédito
2024-09-18,Salário,receita,5607.06,Salário — transação automática,Cartão de Crédito
2023-06-19,Salário,receita,4121.56,Salário — transação automática,Cartão de Crédito
2023-06-13,Assinaturas,despesa,461.66,Assinaturas — transação automática,Cartão de Crédito
2022-12-27,Assinaturas,despesa,450.86,Assinaturas — transação automática,Pix
2022-02-11,Alimentação,despesa,446.87,Alimentação — transação automática,Cartão de Crédito
2023-09-12,Rendimentos,receita,5456.91,Rendimentos — transação automática,Boleto
2024-03-21,Rendimentos,receita,3131.37,Rendimentos — transação automática,Boleto
2022-09-05,Assinaturas,despesa,450.06,Assinaturas — transação automática,Cartão de Crédito
2023-04-29,Transporte,despesa,197.16,Transporte — transação automática,Cartão de Crédito
2023-03-11,Bônus,receita,4165.71,Bônus — transação automática,Transferência
2024-09-05,Moradia,despesa,491.45,Moradia — transação automática,Débito
2022-06-24,Freelance,receita,3637.86,Freelance — transação automática,Débito
2024-06-16,Bônus,receita,4950.95,Bônus — transação automática,Cartão de Crédito
2024-01-28,Alimentação,despesa,588.04,Alimentação — transação automática,Débito
2023-07-24,Transporte,despesa,520.16,Transporte — transação automática,Transferência
2023-11-05,Rendimentos,receita,3375.07,Rendimentos — transação automática,Pix
2024-09-29,Assinaturas,despesa,170.3,Assinaturas — transação automática,Cartão de Crédito
2023-10-15,Assinaturas,despesa,556.28,Assinaturas — transação automática,Débito
2024-10-17,Vestuário,despesa,190.44,Vestuário — transação automática,Boleto
2023-01-24,Vestuário,despesa,364.28,Vestuário — transação automática,Débito
2023-03-04,Manutenção,despesa,478.1,Manutenção — transação automática,Boleto
2024-06-01,Bônus,receita,3496.15,Bônus — transação automática,Pix
2022-05-09,Bônus,receita,6044.27,Bônus — transação automática,Transferência
2022-12-21,Lazer,despesa,395.86,Lazer — transação automática,Cartão de Crédito
2023-10-01,Freelance,receita,4300.96,Freelance — transação automática,Boleto
2023-06-16,Educação,despesa,545.8,Educação — transação automática,Débito
2022-09-02,Freelance,receita,7258.51,Freelance — transação automática,Pix
2024-03-13,Alimentação,despesa,443.64,Alimentação — transação automática,Cartão de Crédito
2024-04-18,Freelance,receita,4805.79,Freelance — transação automática,Cartão de Crédito
2024-12-20,Assinaturas,despesa,195.34,Assinaturas — transação automática,Transferência
2023-03-13,Bônus,receita,4811.61,Bônus — transação automática,Transferência
2022-10-19,Freelance,receita,5140.53,Freelance — transação automática,Transferência
2024-03-10,Moradia,despesa,873.2,Moradia — transação automática,Cartão de Crédito
2023-11-01,Alimentação,despesa,542.75,Alimentação — transação automática,Pix
2022-08-01,Vestuário,despesa,43.99,Vestuário — transação automática,Pix
2024-08-22,Rendimentos,receita,3611.94,Rendimentos — transação automática,Cartão de Crédito
2023-02-12,Impostos,despesa,696.83,Impostos — transação automática,Cartão de Crédito
2024-05-18,Assinaturas,despesa,562.67,Assinaturas — transação automática,Pix
2024-08-09,Vestuário,despesa,41.01,Vestuário — transação automática,Pix
2024-07-23,Rendimentos,receita,7133.6,Rendimentos — transação automática,Boleto
2022-09-10,Impostos,despesa,155.61,Impostos — transação automática,Débito
2024-12-02,Manutenção,despesa,260.63,Manutenção — transação automática,Cartão de Crédito
2022-01-17,Salário,receita,4233.04,Salário — transação automática,Boleto
2024-03-04,Alimentação,despesa,449.27,Alimentação — transação automática,Débito
2024-11-02,Bônus,receita,579.38,Bônus — transação automática,Transferência
2022-03-15,Rendimentos,receita,2802.68,Rendimentos — transação automática,Pix
2024-08-27,Salário,receita,1627.96,Salário — transação automática,Cartão de Crédito
2024-08-15,Impostos,despesa,402.23,Impostos — transação automática,Cartão de Crédito
2024-03-20,Saúde,despesa,5.0,Saúde — transação automática,Pix
2023-04-21,Salário,receita,2973.73,Salário — transação automática,Débito
2024-04-26,Vestuário,despesa,696.28,Vestuário — transação automática,Pix
2022-12-02,Lazer,despesa,5.0,Lazer — transação automática,Débito
2023-11-20,Lazer,despesa,475.38,Lazer — transação automática,Débito
2023-05-11,Assinaturas,despesa,476.74,Assinaturas — transação automática,Pix
2024-06-12,Assinaturas,despesa,121.12,Assinaturas — transação automática,Cartão de Crédito
2024-06-15,Rendimentos,receita,3908.31,Rendimentos — transação automática,Boleto
2022-02-23,Saúde,despesa,752.48,Saúde — transação automática,Pix
2022-06-17,Alimentação,despesa,133.71,Alimentação — transação automática,Pix
2022-05-03,Transporte,despesa,515.1,Transporte — transação automática,Cartão de Crédito
2022-12-27,Alimentação,despesa,800.38,Alimentação — transação automática,Boleto
2022-06-01,Alimentação,despesa,410.38,Alimentação — transação automática,Cartão de Crédito
2024-09-28,Impostos,despesa,167.35,Impostos — transação automática,Boleto
2022-07-11,Salário,receita,1852.76,Salário — transação automática,Transferência
2023-08-05,Vestuário,despesa,289.81,Vestuário — transação automática,Débito
2023-03-18,Salário,receita,6219.91,Salário — transação automática,Débito
2022-04-05,Manutenção,despesa,465.59,Manutenção — transação automática,Cartão de Crédito
2022-06-29,Lazer,despesa,508.77,Lazer — transação automática,Débito
2024-07-17,Salário,receita,5518.66,Salário — transação automática,Boleto
2023-03-05,Bônus,receita,4980.62,Bônus — transação automática,Pix
2024-02-20,Vestuário,despesa,382.05,Vestuário — transação automática,Cartão de Crédito
2023-03-30,Moradia,despesa,589.75,Moradia — transação automática,Pix
2024-11-29,Manutenção,despesa,457.41,Manutenção — transação automática,Transferência
2024-08-27,Freelance,receita,6122.7,Freelance — transação automática,Pix
2022-08-20,Saúde,despesa,589.54,Saúde — transação automática,Pix
2023-03-29,Educação,despesa,859.34,Educação — transação automática,Pix
2023-10-10,Salário,receita,366.64,Salário — transação automática,Boleto
2022-01-21,Manutenção,despesa,16.53,Manutenção — transação automática,Pix
2024-12-30,Bônus,receita,5321.11,Bônus — transação automática,Boleto
2023-07-25,Assinaturas,despesa,731.3,Assinaturas — transação automática,Transferência
2022-06-29,Transporte,despesa,59.61,Transporte — transação automática,Pix
2022-02-19,Moradia,despesa,694.95,Moradia — transação automática,Boleto
2024-08-14,Alimentação,despesa,567.23,Alimentação — transação automática,Boleto
2023-06-20,Saúde,despesa,147.86,Saúde — transação automática,Boleto
2024-04-30,Manutenção,despesa,176.18,Manutenção — transação automática,Boleto
2022-04-15,Impostos,despesa,-2344.31,Impostos — transação automática [ANOMALIA INJETADA],Cartão de Crédito
2022-02-22,Educação,despesa,311.13,Educação — transação automática,Transferência
2023-10-14,Saúde,despesa,238.06,Saúde — transação automática,Pix
2023-09-29,Educação,despesa,20172.98,Educação — transação automática [ANOMALIA INJETADA],Débito
2023-09-28,Alimentação,despesa,223.48,Alimentação — transação automática,Pix
2024-07-12,Moradia,despesa,602.83,Moradia — transação automática,Débito
2024-03-25,Educação,despesa,222.06,Educação — transação automática,Boleto
2024-11-30,Moradia,despesa,18.36,Moradia — transação automática,Débito
2023-10-01,Manutenção,despesa,5.0,Manutenção — transação automática,Cartão de Crédito
2022-01-24,Lazer,despesa,5.0,Lazer — transação automática,Cartão de Crédito
2023-01-02,Alimentação,despesa,89.52,Alimentação — transação automática,Débito
2022-07-11,Salário,receita,3961.58,Salário — transação automática,Pix
2022-08-23,Impostos,despesa,418.58,Impostos — transação automática,Débito
2022-02-03,Manutenção,despesa,357.05,Manutenção — transação automática,Boleto
2022-07-28,Manutenção,despesa,649.36,Manutenção — transação automática,Transferência
2024-11-17,Impostos,despesa,441.69,Impostos — transação automática,Transferência
2024-07-26,Assinaturas,despesa,134.98,Assinaturas — transação automática,Boleto
2023-03-23,Alimentação,despesa,102.51,Alimentação — transação automática,Boleto
2023-09-19,Assinaturas,despesa,887.9,Assinaturas — transação automática,Débito
2023-10-07,Bônus,receita,5731.48,Bônus — transação automática,Boleto
2024-02-10,Manutenção,despesa,735.03,Manutenção — transação automática,Débito
2022-09-23,Assinaturas,despesa,282.29,Assinaturas — transação automática,Boleto
2022-03-22,Educação,despesa,528.14,Educação — transação automática,Pix
2023-07-20,Alimentação,despesa,188.88,Alimentação — transação automática,Transferência
2022-03-06,Bônus,receita,5652.24,Bônus — transação automática,Cartão de Crédito
